-99.857,16.822,11.64,7.99
-99.903,16.838,10.72,11.58
-104.521,21.054,0.94,1.67
-100.344,18.281,7.86,12.63
-99.145,16.988,0.37,12.54
-102.762,18.079,7.19,11.2
-100.267,17.049,6.98,3.91
-105.045,19.498,5.11,10.07
-103.702,19.244,5.5,6.14
-92.137,16.282,3.04,3.53
-100.081,17.008,7.11,4.17
-100.081,17.008,7.67,5.78
-99.628,16.776,11.92,11.71
-99.131,16.736,10.53,11.78
-99.035,20.3,1.41,1.76
-99.651,17.021,8.84,9.35
-99.651,17.021,8.56,9.78
-96.108,15.769,12.23,16.03
-99.176,19.327,3.36,3.13
-99.502,18.392,3.52,4.11
-102.284,21.856,1.3,2.33
-99.487,17.519,6.11,9.6
-102.178,17.939,7.76,15.83
-94.884,17.091,3.58,3.41
-99.62,17.925,5.09,6.14
-98.817,16.594,13.97,17.58
-96.717,17.078,4.96,7.89
-96.733,17.073,5.82,8.53
-98.419,16.7,14.01,16.59
-98.041,18.13,3.08,6.52
-96.055,16.52,5.93,9.02
-96.746,15.727,15.03,26.74
-96.91,16.63,3.06,8.02
-97.051,16.142,11.49,16.19
-98.611,16.709,15.65,18.74
-97.218,17.4,4.34,7.6
-97.075,15.889,19.11,23.17
-95.239,16.281,4.27,4.77
-97.654,16.151,8.61,11.03
-96.499,15.662,15.9,17.02
-101.047,17.273,11.98,13.53
-97.148,15.998,14.51,13.61
-104.101,19.391,4.02,7.01
-98.127,16.393,9.94,10.1
-98.628,19.067,-0.72,7.91
-98.657,19.01,2.07,1.79
-91.187,18.967,1.43,1.63
-95.197,16.168,4.34,5.24
-98.741,16.811,13.55,14.41
-97.864,22.278,0.88,1.25
-100.631,17.234,9.53,10.01
-103.861,18.985,6.94,8.47
-103.173,18.791,4.98,9.02
-101.971,18.554,5.31,8.52
-101.896,18.272,5.91,10.46
-101.228,19.649,2.43,0.83
-103.346,18.289,7.06,11.51
-104.402,19.124,7.94,10.56
-99.644,19.293,3.2,4.14
-101.694,19.813,2.57,1.88
-99.181,19.313,1.9,3.57
-99.067,18.862,2.18,3.35
-101.465,17.607,9.86,13.26
