Name Lat Lon S-SSE_trem_N S-SSE_trem_E S-SSE_trem_U std_S-SSE_trem_N std_S-SSE_trem_E std_S-SSE_trem_U L-SSE_trem_N L-SSE_trem_E L-SSE_trem_U std_L-SSE_trem_N std_L-SSE_trem_E std_L-SSE_trem_U L-SSE_inter_N L-SSE_inter_E L-SSE_inter_U std_L-SSE_inter_N std_L-SSE_inter_E std_L-SSE_inter_U Inter-Seismic_1_N Inter-Seismic_1_E Inter-Seismic_1_U std_Inter-Seismic_1_N std_Inter-Seismic_1_E std_Inter-Seismic_1_U Inter-Seismic_2_N Inter-Seismic_2_E Inter-Seismic_2_U std_Inter-Seismic_2_N std_Inter-Seismic_2_E std_Inter-Seismic_2_U
OCOT 17.252352 -99.518683 -0.010490 -0.031078 -8.486001 0.019276 0.004351 45.274821 -0.017959 -0.026199 16.637207 0.007643 0.005940 15.299624 -0.026967 -0.036447 16.637207 0.005940 0.005404 15.299624 0.008146 0.014440 -0.012698 0.002499 0.002759 0.006743 0.015040 0.025430 -0.008779 0.004351 0.005067 0.012212 
OXTP 17.625607 -98.446277 0.005557 -0.003443 18.477056 0.007709 0.002673 23.187787 0.001187 -0.008726 -118.813506 0.013383 0.011040 30.186101 -0.034006 -0.046535 -118.813506 0.011040 0.010678 30.186101 0.010277 0.013476 0.005450 0.002211 0.001715 0.005906 0.010277 0.013476 0.005450 0.002211 0.001715 
PAPA 17.272648 -101.047230 -0.012001 -0.006297 75.121392 0.009610 0.002696 28.262083 --- --- --- --- --- --- --- --- --- --- --- --- 0.007946 0.011086 -0.014855 0.003703 0.002885 0.007508 0.006709 0.014479 -0.023201 0.002696 0.002481 0.007372 
PORV 17.531633 -100.936002 -0.010393 -0.002641 -16.575581 0.024020 0.008586 42.924941 --- --- --- --- --- --- --- --- --- --- --- --- 0.006942 0.010800 0.007478 0.002300 0.001968 0.006200 0.011303 0.009858 0.016845 0.004586 0.003256 0.012954 
SMRC 16.807079 -99.390671 -0.025256 -0.017096 -5.894837 0.012492 0.003475 30.732533 -0.010518 -0.054980 9.556929 0.013585 0.005988 20.301094 0.002937 -0.034827 9.556929 0.005988 0.008828 20.301094 0.010617 0.023983 -0.011375 0.002637 0.003726 0.007570 0.021599 0.026881 -0.003088 0.003475 0.003475 0.008531 
SVDB 17.174410 -100.170044 -0.012306 -0.030818 -43.584005 0.015791 0.005313 45.186730 -0.067782 -0.096444 41.629152 0.022753 0.014270 31.614069 -0.049789 -0.017831 41.629152 0.014270 0.018017 31.614069 0.017408 0.010317 0.001533 0.004021 0.003069 0.008665 0.020719 0.020556 0.009304 0.005313 0.004628 0.011933 
TCPN 17.235893 -100.628149 -0.014986 -0.004375 32.290686 0.007877 0.002153 23.920873 -0.039563 -0.058545 -0.937797 0.015732 0.011619 18.210058 -0.018782 -0.025930 -0.937797 0.011619 0.013956 18.210058 0.013021 0.013150 -0.013438 0.002946 0.005915 0.008970 0.014395 0.012674 -0.021756 0.002153 0.002133 0.005797 
TLIG 17.562000 -98.566000 -0.002947 -0.013228 -26.783528 0.008604 0.002592 40.342770 -0.025301 -0.016025 -37.162425 0.008716 0.007938 27.043267 -0.021762 -0.035060 -37.162425 0.007938 0.007085 27.043267 0.010318 0.016945 0.013885 0.002530 0.002409 0.008746 0.010318 0.016945 0.013885 0.002530 0.002409  
TNAL 19.118731 -98.655235 0.004292 0.001187 22.295394 0.009763 0.002855 24.608030 0.010003 0.009624 7.125415 0.016670 0.020511 48.018613 -0.006444 -0.024988 7.125415 0.020511 0.019813 48.018613 0.000709 0.007076 0.002631 0.001670 0.001670 0.004142 -0.000163 0.006953 -0.003382 0.002855 0.002854 0.007194 
TNMO 19.648780 -101.227840 -0.009511 0.003548 6.127506 0.006592 0.002302 18.468386 0.006490 -0.014366 -6.207199 0.008157 0.009811 23.710363 0.001958 -0.016326 -6.207199 0.009811 0.007896 23.710363 0.001897 0.003962 -0.000873 0.001986 0.002090 0.004945 0.006104 0.002781 -0.004565 0.002302 0.001782 0.005141 
TOL2 19.293234 -99.643472 0.002669 -0.008263 9.305950 0.004414 0.001205 13.472948 -0.007903 -0.011614 -4.623642 0.004428 0.003465 11.606164 -0.003629 -0.016431 -4.623642 0.003465 0.003778 11.606164 0.003040 0.005564 0.004196 0.002061 0.002138 0.006211 0.002415 0.007422 0.003672 0.001205 0.001235 0.003713 
UCOE 19.813210 -101.694420 -0.000138 0.002777 1.044410 0.004794 0.001725 15.249974 0.005398 -0.007358 -22.913557 0.010279 0.007646 22.438238 -0.001443 -0.018427 -22.913557 0.007646 0.008092 22.438238 0.001694 0.004376 0.000609 0.001731 0.001830 0.004667 0.001643 0.002767 0.000602 0.001725 0.001493 0.004671 
UNIP 19.312697 -99.181303 0.002627 -0.008103 -0.773659 0.005791 0.001883 17.059425 -0.008040 -0.015260 -14.340909 0.004702 0.004186 14.130735 -0.002453 -0.006769 -14.340909 0.004186 0.004209 14.130735 0.001585 0.005117 -0.000037 0.001743 0.002099 0.005660 0.002229 0.006188 0.003162 0.001883 0.001814 0.005504 
UTAC 19.404494 -99.195181 0.014294 -0.006413 -1.216065 0.012735 0.003722 35.517359 0.006924 -0.003648 -25.333228 0.010416 0.011966 33.455485 -0.010506 -0.027216 -25.333228 0.011966 0.011232 33.455485 0.000354 0.005004 0.007467 0.001546 0.001577 0.004589 -0.004080 0.005708 -0.012667 0.003722 0.003567 0.011215 
YAIG 18.862435 -99.066938 -0.007826 -0.014830 4.011360 0.010335 0.002325 32.846361 -0.006177 -0.015738 9.719502 0.009700 0.006968 23.772183 -0.006470 -0.022924 9.719502 0.006968 0.008585 23.772183 0.002708 0.006855 0.002609 0.002182 0.002778 0.007408 0.002708 0.006855 0.002609 0.002182 0.002778 0.007408  
ZIHP 17.606912 -101.464954 -0.006958 -0.001735 4.513749 0.004906 0.001919 15.462795 -0.076782 -0.020990 195.841458 0.012942 0.013890 43.549256 0.011399 -0.017666 195.841458 0.013890 0.015250 43.549256 0.015069 0.017641 -0.006056 0.004379 0.003136 0.006422 0.015234 0.017120 -0.003175 0.001919 0.001783 0.005396 
ZIHU 17.606912 -101.464954 -0.006958 -0.001735 4.513749 0.004906 0.001919 15.462795 -0.076782 -0.020990 195.841458 0.012942 0.013890 43.549256 0.011399 -0.017666 195.841458 0.013890 0.015250 43.549256 0.015069 0.017641 -0.006056 0.004379 0.003136 0.006422 0.015234 0.017120 -0.003175 0.001919 0.001783 0.005396 
HUAM 15.753133 -96.129455 0.006568 -0.011796 -4.848771 0.017271 0.011830 46.675515 --- --- --- --- --- --- --- --- --- --- --- --- 0.011261 0.016624 -0.007641 0.001985 0.002259 0.005916 0.008398 0.021098 -0.003876 0.003171 0.003075 0.027863 
MRQL 16.593470 -98.817204 -0.012360 -0.024039 31.570152 0.011353 0.004667 41.081614 -0.021690 -0.031446 40.314805 0.010938 0.007618 17.896323 -0.005840 -0.016569 40.314805 0.007618 0.009469 17.896323 0.017710 0.023161 -0.002596 0.002041 0.002602 0.005781 0.020164 0.036349 -0.027327 0.004658 0.004200 0.014805 
